fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.085,other,20.9,0.19,0.99,0.1,,,,,,0.82,2,1,2,1,1,,2,467774,7972,592780,4105073,600,8330,6509,690,,810,662,158,,713,4770660,2030864,1670646,2021-11-29,https://covidactnow.org/us/nevada-nv,0.659,0.542,0,3908996,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.044,other,29.9,0.33,1.05,0.1,,,,,,0.71,3,1,3,1,1,,1,2713812,56944,2973649,62358466,9620,48591,39288,2902,,4942,3525,491,,4506,35551375,15075041,13268116,2021-11-29,https://covidactnow.org/us/new_york-ny,0.775,0.682,27,29477691,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.126,other,42.6,0.07,1.03,0.1,,,,,,0.81,3,2,3,2,1,,2,1677741,26483,1430969,16148558,1659,31226,24296,3679,,3952,3208,943,,4245,18198005,6779515,6175735,2021-11-29,https://covidactnow.org/us/ohio-oh,0.58,0.528,0,14192281,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.091,other,20.4,0.17,1.09,0.1,,,,,,0.82,2,1,2,1,1,,2,662220,10879,626316,2597668,700,10088,7283,552,,991,816,153,,545,6008460,2466343,2030324,2021-11-29,https://covidactnow.org/us/oklahoma-ok,0.623,0.513,0,4822388,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.045,other,19.1,0.16,0.96,0.1,,,,,,0.73,2,1,2,1,1,,1,387485,5116,344436,5327234,656,7012,5507,503,,793,581,93,,851,7955455,2996512,2692675,2021-11-29,https://covidactnow.org/us/oregon-or,0.71,0.638,0,6122487,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.12,other,44.3,0.05,1.05,0.1,,,,,,0.82,3,2,3,2,1,,2,1725902,33283,1686964,18963119,1508,30681,26004,3986,,3769,3081,780,,4159,23661345,10349983,7430988,2021-11-29,https://covidactnow.org/us/pennsylvania-pa,0.808,0.58,32,18031448,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.027,other,2.3,,0.88,0.14,,,,,,0.66,1,0,1,4,0,,0,221551,3269,120683,1709582,10,9257,5596,59,,670,444,3,,39,6008940,2690338,2361160,2021-11-29,https://covidactnow.org/us/puerto_rico-pr,0.842,0.739,1,5335589,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.045,other,44.6,0.08,1.2,0.1,,,,,,0.88,3,1,3,2,2,,3,188561,2915,227060,5065790,200,2409,2137,123,,139,123,21,,426,2024085,873059,765072,2021-11-29,https://covidactnow.org/us/rhode_island-ri,0.824,0.722,0,1714653,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.04,other,11.2,0.27,0.97,0.1,,,,,,0.73,2,1,2,1,1,,1,915671,14186,956707,8908970,775,11706,8873,387,,1318,966,112,,725,8329255,3080965,2634512,2021-11-29,https://covidactnow.org/us/south_carolina-sc,0.598,0.512,0,6118807,2
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.153,other,45.5,0.17,1.08,0.1,,,,,,0.67,3,2,3,1,1,,0,164292,2320,111980,777814,350,2788,1801,234,,248,165,66,,571,1483165,586804,480731,2021-11-29,https://covidactnow.org/us/south_dakota-sd,0.663,0.543,0,1135140,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.065,other,19.5,0.18,1.09,0.1,,,,,,0.69,2,1,2,1,1,,0,1280475,16826,1082839,8135105,1226,19836,13693,861,,2434,1687,231,,1634,10256940,3858576,3372783,2021-11-29,https://covidactnow.org/us/tennessee-tn,0.565,0.494,0,8081410,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.058,other,11.2,0.23,0.98,0.1,,,,,,0.84,2,1,2,1,1,,2,4273782,73923,4523950,34164381,3722,64407,48008,3335,,6844,5719,883,,3958,49043325,18474428,15793073,2021-11-29,https://covidactnow.org/us/texas-tx,0.637,0.545,1,36862434,2
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.109,other,41.0,,0.98,0.1,,,,,,,3,2,3,4,1,,4,592258,3487,666196,5062696,1200,5571,3378,538,,616,421,188,,2416,4974700,2041421,1770907,2021-11-29,https://covidactnow.org/us/utah-ut,0.637,0.552,0,4001214,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.064,other,17.2,0.21,1.07,0.1,,,,,,0.72,2,1,2,1,1,,1,963739,14635,1224891,10255817,1547,17748,13039,946,,1902,1371,219,,1267,15593805,6393468,5516063,2021-11-29,https://covidactnow.org/us/virginia-va,0.749,0.646,0,12883121,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.038,other,61.0,0.03,1.04,0.1,,,,,,0.88,3,1,3,2,1,,3,48120,406,66925,2618777,53,1238,897,67,,89,78,20,,315,1298770,527825,453418,2021-11-29,https://covidactnow.org/us/vermont-vt,0.846,0.727,0,1101607,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.087,other,18.0,0.31,0.94,0.1,,,,,,0.79,2,1,2,1,1,,1,770886,9256,600633,8861899,2122,12444,10274,960,,1204,949,211,,1095,13937215,5508609,4935124,2021-11-29,https://covidactnow.org/us/washington-wa,0.723,0.648,0,11228003,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.12,other,55.4,0.04,1.07,0.1,,,,,,0.71,3,2,3,2,1,,1,967815,9944,1016707,11918149,600,13005,9599,1472,,1553,1109,369,,753,9243335,3807811,3452828,2021-11-29,https://covidactnow.org/us/wisconsin-wi,0.654,0.593,0,8080069,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.101,other,46.0,0.06,1.0,0.1,,,,,,0.75,3,2,3,2,1,,1,290909,4817,325565,3686168,248,5869,4550,542,,626,472,163,,883,3381025,964820,744003,2021-11-29,https://covidactnow.org/us/west_virginia-wv,0.538,0.415,0,1689798,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.058,other,40.4,0.04,0.89,0.1,,,,,,0.55,3,1,3,2,0,,0,110264,1347,85390,1071273,50,1748,903,125,,137,76,26,,249,814305,307923,262417,2021-11-29,https://covidactnow.org/us/wyoming-wy,0.532,0.453,0,623826,3
